"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-May-2025","EQ","864.70","866.00","826.50","864.85","830.75","832.40","840.27","1,313.25","627.45","14,45,747","1,21,48,23,251.50","50,051"
"29-May-2025","EQ","875.15","878.80","860.25","875.10","864.55","864.85","865.57","1,313.25","627.45","8,61,043","74,52,96,274.30","33,312"
"28-May-2025","EQ","867.50","879.50","859.20","861.70","872.20","875.10","870.41","1,313.25","627.45","21,74,438","1,89,26,56,090.05","54,661"
"27-May-2025","EQ","890.00","926.65","853.45","861.45","860.00","861.70","897.26","1,313.25","627.45","1,37,88,945","12,37,23,30,755.75","2,74,444"
"26-May-2025","EQ","820.00","875.00","808.65","815.15","867.90","861.45","848.68","1,313.25","627.45","35,39,009","3,00,35,00,381.50","1,00,053"
"23-May-2025","EQ","814.95","826.35","811.00","813.90","813.00","815.15","818.88","1,313.25","627.45","7,17,956","58,79,18,632.85","27,687"
"22-May-2025","EQ","794.25","816.15","791.30","797.45","815.40","813.90","807.65","1,313.25","627.45","9,38,431","75,79,26,948.70","37,030"
"21-May-2025","EQ","783.95","812.00","771.35","784.00","795.75","797.45","797.89","1,313.25","627.45","8,10,432","64,66,32,529.50","31,354"
"20-May-2025","EQ","822.35","826.35","779.10","816.20","785.00","784.00","795.54","1,313.25","627.45","10,61,986","84,48,50,583.05","49,642"
"19-May-2025","EQ","815.00","844.00","808.00","800.60","816.80","816.20","824.61","1,313.25","627.45","20,94,205","1,72,69,05,744.20","70,617"
"16-May-2025","EQ","803.85","806.50","785.30","803.85","795.95","800.60","795.00","1,313.25","627.45","17,80,312","1,41,53,50,916.20","76,742"
"15-May-2025","EQ","741.00","819.35","739.35","737.35","796.00","803.85","795.65","1,313.25","627.45","76,61,413","6,09,57,75,075.60","1,94,494"
"14-May-2025","EQ","739.00","753.50","732.45","732.95","739.00","737.35","743.17","1,313.25","627.45","9,90,430","73,60,59,553.90","40,840"
"13-May-2025","EQ","739.90","751.70","729.95","730.50","732.00","732.95","739.96","1,313.25","627.45","8,86,387","65,58,88,218.45","37,650"
"12-May-2025","EQ","723.00","733.90","715.90","694.85","732.00","730.50","726.60","1,313.25","627.45","8,27,957","60,15,94,285.00","32,671"
"09-May-2025","EQ","693.00","699.00","677.20","700.45","696.95","694.85","688.26","1,313.25","627.45","4,01,051","27,60,26,135.10","30,954"
"08-May-2025","EQ","724.00","731.55","697.05","724.90","698.25","700.45","715.37","1,313.25","627.45","4,76,510","34,08,80,302.45","32,297"
"07-May-2025","EQ","677.00","728.00","675.60","690.40","722.05","724.90","713.26","1,313.25","627.45","10,92,651","77,93,45,281.20","55,911"
"06-May-2025","EQ","706.25","720.55","686.00","700.55","691.00","690.40","706.94","1,313.25","627.45","9,75,321","68,94,97,803.10","46,106"
"05-May-2025","EQ","706.05","708.00","695.15","703.20","702.50","700.55","699.27","1,313.25","627.45","3,49,556","24,44,33,187.60","25,154"
"02-May-2025","EQ","700.00","717.00","698.45","698.20","703.00","703.20","704.89","1,313.25","627.45","6,33,061","44,62,40,048.30","39,581"
"30-Apr-2025","EQ","714.00","719.65","689.25","714.20","698.00","698.20","703.09","1,313.25","627.45","7,74,830","54,47,77,279.10","40,823"
"29-Apr-2025","EQ","732.00","735.50","712.00","724.40","716.00","714.20","722.22","1,313.25","627.45","3,93,159","28,39,46,427.70","25,613"
"28-Apr-2025","EQ","715.20","731.70","713.00","723.20","725.80","724.40","723.56","1,313.25","627.45","4,07,142","29,45,92,342.30","32,989"
"25-Apr-2025","EQ","739.85","741.15","709.15","738.30","717.90","723.20","722.24","1,313.25","627.45","6,57,326","47,47,48,023.95","39,119"
"24-Apr-2025","EQ","738.00","752.00","733.20","738.55","736.25","738.30","743.49","1,313.25","627.45","7,57,091","56,28,92,143.50","41,329"
"23-Apr-2025","EQ","743.00","754.60","733.00","741.20","735.60","738.55","742.88","1,313.25","627.45","8,40,086","62,40,85,725.00","40,116"
"22-Apr-2025","EQ","724.25","756.50","717.00","723.20","738.60","741.20","738.32","1,313.25","627.45","14,98,138","1,10,61,09,940.95","50,557"
"21-Apr-2025","EQ","716.30","728.30","714.35","710.90","724.20","723.20","722.09","1,313.25","627.45","5,60,800","40,49,49,860.90","19,281"
"17-Apr-2025","EQ","724.00","725.05","709.10","723.50","711.40","710.90","714.54","1,313.25","627.45","7,19,151","51,38,59,942.55","27,933"
"16-Apr-2025","EQ","717.95","742.00","713.85","711.40","723.90","723.50","730.79","1,313.25","627.45","22,55,022","1,64,79,47,796.55","58,640"
"15-Apr-2025","EQ","669.00","730.50","666.80","660.05","710.90","711.40","713.86","1,313.25","627.45","67,34,760","4,80,76,97,447.45","1,64,743"
"11-Apr-2025","EQ","680.45","682.50","657.00","658.00","660.00","660.05","661.20","1,313.25","627.45","10,04,159","66,39,47,566.85","47,905"
"09-Apr-2025","EQ","661.00","674.25","653.00","664.60","660.00","658.00","660.01","1,313.25","627.45","8,93,755","58,98,87,466.25","34,361"
"08-Apr-2025","EQ","686.00","686.00","662.65","657.25","667.85","664.60","669.94","1,313.25","627.45","8,42,867","56,46,66,154.95","32,797"
"07-Apr-2025","EQ","630.00","663.85","627.45","689.40","660.00","657.25","649.09","1,313.25","627.45","10,01,302","64,99,38,565.65","56,910"
"04-Apr-2025","EQ","731.55","740.00","682.00","726.40","689.50","689.40","701.19","1,313.25","648.60","16,29,674","1,14,27,10,180.90","64,111"
"03-Apr-2025","EQ","770.60","778.95","725.00","767.25","729.90","726.40","744.64","1,313.25","648.60","20,54,398","1,52,97,91,888.80","79,373"
"02-Apr-2025","EQ","800.40","805.00","764.10","791.75","767.45","767.25","771.30","1,313.25","648.60","14,79,963","1,14,14,95,657.25","56,354"
"01-Apr-2025","EQ","784.10","804.40","762.05","782.75","790.00","791.75","785.22","1,313.25","648.60","12,17,704","95,61,70,459.95","61,387"
"28-Mar-2025","EQ","803.95","809.85","775.50","798.05","780.00","782.75","794.10","1,313.25","648.60","7,70,276","61,16,79,786.50","37,097"
"27-Mar-2025","EQ","759.85","813.35","754.40","761.45","804.00","798.05","778.47","1,313.25","648.60","10,82,565","84,27,43,956.05","51,981"
"26-Mar-2025","EQ","772.05","786.00","756.15","780.90","759.85","761.45","771.60","1,313.25","648.60","7,69,621","59,38,41,670.40","32,321"
"25-Mar-2025","EQ","806.80","813.90","777.30","801.75","779.00","780.90","794.54","1,313.25","648.60","9,32,559","74,09,58,378.25","40,400"
"24-Mar-2025","EQ","835.00","845.90","793.95","839.05","802.00","801.75","805.19","1,313.25","648.60","24,61,312","1,98,18,23,185.70","85,226"
"21-Mar-2025","EQ","830.05","861.65","823.20","831.10","832.00","839.05","846.26","1,313.25","648.60","48,70,240","4,12,14,79,011.30","1,24,122"
